,0,1,2,3,4,5,6
11508,0.0,1.0,0.0,0.0,28-10-06,21:00,67
11076,0.0,1.0,0.0,0.0,24-10-06,9:00,177
2632,0.0,0.0,1.0,0.0,28-10-06,10:00,319
4075,1.0,0.0,0.0,0.0,12-10-06,10:45,140
396,0.0,0.0,1.0,0.0,05-10-06,3:00,4
2724,0.0,0.0,1.0,0.0,29-10-06,9:00,119
5010,1.0,0.0,0.0,0.0,22-10-06,4:30,3
5183,1.0,0.0,0.0,0.0,23-10-06,23:45,11
8995,0.0,1.0,0.0,0.0,01-10-06,16:45,155
11515,0.0,1.0,0.0,0.0,28-10-06,22:45,65
5702,1.0,0.0,0.0,0.0,29-10-06,9:30,91
4398,1.0,0.0,0.0,0.0,15-10-06,19:30,86
4347,1.0,0.0,0.0,0.0,15-10-06,6:45,33
9564,0.0,1.0,0.0,0.0,08-10-06,15:00,147
11781,0.0,1.0,0.0,0.0,31-10-06,17:15,355
9948,0.0,1.0,0.0,0.0,12-10-06,15:00,198
5344,1.0,0.0,0.0,0.0,25-10-06,16:00,179
10863,0.0,1.0,0.0,0.0,22-10-06,3:45,16
3007,1.0,0.0,0.0,0.0,01-10-06,7:45,53
2305,0.0,0.0,1.0,0.0,25-10-06,0:15,33
3170,1.0,0.0,0.0,0.0,03-10-06,0:30,11
2167,0.0,0.0,1.0,0.0,23-10-06,13:45,278
6239,0.0,0.0,0.0,1.0,03-10-06,23:45,37
4038,1.0,0.0,0.0,0.0,12-10-06,1:30,5
5151,1.0,0.0,0.0,0.0,23-10-06,15:45,153
1351,0.0,0.0,1.0,0.0,15-10-06,1:45,32
7610,0.0,0.0,0.0,1.0,18-10-06,6:30,184
188,0.0,0.0,1.0,0.0,02-10-06,23:00,62
4731,1.0,0.0,0.0,0.0,19-10-06,6:45,193
6680,0.0,0.0,0.0,1.0,08-10-06,14:00,340
9473,0.0,1.0,0.0,0.0,07-10-06,16:15,195
11412,0.0,1.0,0.0,0.0,27-10-06,21:00,84
1921,0.0,0.0,1.0,0.0,21-10-06,0:15,59
7181,0.0,0.0,0.0,1.0,13-10-06,19:15,270
10262,0.0,1.0,0.0,0.0,15-10-06,21:30,51
8598,0.0,0.0,0.0,1.0,28-10-06,13:30,311
256,0.0,0.0,1.0,0.0,03-10-06,16:00,357
1540,0.0,0.0,1.0,0.0,17-10-06,1:00,3
992,0.0,0.0,1.0,0.0,11-10-06,8:00,363
5091,1.0,0.0,0.0,0.0,23-10-06,0:45,7
1069,0.0,0.0,1.0,0.0,12-10-06,3:15,4
10241,0.0,1.0,0.0,0.0,15-10-06,16:15,215
7553,0.0,0.0,0.0,1.0,17-10-06,16:15,385
2384,0.0,0.0,1.0,0.0,25-10-06,20:00,156
6134,0.0,0.0,0.0,1.0,02-10-06,21:30,103
1379,0.0,0.0,1.0,0.0,15-10-06,8:45,126
11630,0.0,1.0,0.0,0.0,30-10-06,3:30,3
6726,0.0,0.0,0.0,1.0,09-10-06,1:30,12
9972,0.0,1.0,0.0,0.0,12-10-06,21:00,91
11101,0.0,1.0,0.0,0.0,24-10-06,15:15,225
5771,1.0,0.0,0.0,0.0,30-10-06,2:45,2
10494,0.0,1.0,0.0,0.0,18-10-06,7:30,178
10511,0.0,1.0,0.0,0.0,18-10-06,11:45,142
4127,1.0,0.0,0.0,0.0,12-10-06,23:45,17
6418,0.0,0.0,0.0,1.0,05-10-06,20:30,227
