val_loss,val_acc,loss,acc
112384392.0,0.0,113803077.27974883,0.0
112384392.0,0.0,113803078.68383045,0.0
112384392.0,0.0,113803076.48854004,0.0
112384392.0,0.0,113803077.49576138,0.0
112384392.0,0.0,113803075.93343799,0.0
112384392.0,0.0,113803078.22417583,0.0
112384392.0,0.0,113803077.23956044,0.0
112384392.0,0.0,113803080.49733125,0.0
112384392.0,0.0,113803079.72119309,0.0
112384392.0,0.0,113803079.37959184,0.0
112384392.0,0.0,113803078.30706437,0.0
112384392.0,0.0,113803076.64929356,0.0
112384392.0,0.0,113803078.85463108,0.0
112384392.0,0.0,113803078.16640502,0.0
112384392.0,0.0,113803077.61381476,0.0
112384392.0,0.0,113803078.54819466,0.0
112384392.0,0.0,113803076.36295134,0.0
112384392.0,0.0,113803076.1745683,0.0
112384392.0,0.0,113803078.4678179,0.0
112384392.0,0.0,113803076.22480376,0.0
112384392.0,0.0,113803077.666562,0.0
112384392.0,0.0,113803076.66687599,0.0
112384392.0,0.0,113803077.26970173,0.0
112384392.0,0.0,113803076.74474098,0.0
112384392.0,0.0,113803077.5610675,0.0
112384392.0,0.0,113803077.00094192,0.0
112384392.0,0.0,113803078.43014129,0.0
112384392.0,0.0,113803077.51836735,0.0
112384392.0,0.0,113803078.02825746,0.0
112384392.0,0.0,113803077.96295133,0.0
112384392.0,0.0,113803077.75698587,0.0
112384392.0,0.0,113803076.3755102,0.0
112384392.0,0.0,113803078.82700157,0.0
112384392.0,0.0,113803077.42794348,0.0
112384392.0,0.0,113803075.68979591,0.0
112384392.0,0.0,113803079.38712716,0.0
112384392.0,0.0,113803080.3265306,0.0
112384392.0,0.0,113803078.16389325,0.0
112384392.0,0.0,113803077.51083203,0.0
112384392.0,0.0,113803076.24489796,0.0
112384392.0,0.0,113803074.62480377,0.0
112384392.0,0.0,113803079.8065934,0.0
112384392.0,0.0,113803077.1089482,0.0
112384392.0,0.0,113803075.39591837,0.0
112384392.0,0.0,113803076.6266876,0.0
112384392.0,0.0,113803078.08100471,0.0
112384392.0,0.0,113803076.144427,0.0
112384392.0,0.0,113803078.57080063,0.0
112384392.0,0.0,113803077.54348509,0.0
112384392.0,0.0,113803076.89293563,0.0
112384392.0,0.0,113803077.4656201,0.0
112384392.0,0.0,113803075.94599687,0.0
112384392.0,0.0,113803075.73751962,0.0
112384392.0,0.0,113803077.61130299,0.0
112384392.0,0.0,113803079.39968602,0.0
112384392.0,0.0,113803075.16232339,0.0
112384392.0,0.0,113803079.4122449,0.0
112384392.0,0.0,113803078.78932495,0.0
112384392.0,0.0,113803078.71397175,0.0
112384392.0,0.0,113803078.86718996,0.0
112384392.0,0.0,113803076.76734693,0.0
112384392.0,0.0,113803077.00847724,0.0
112384392.0,0.0,113803077.32244898,0.0
112384392.0,0.0,113803076.91805337,0.0
112384392.0,0.0,113803076.48100471,0.0
112384392.0,0.0,113803077.06373626,0.0
112384392.0,0.0,113803076.74474098,0.0
112384392.0,0.0,113803077.40031397,0.0
112384392.0,0.0,113803078.44521193,0.0
112384392.0,0.0,113803076.30266877,0.0
112384392.0,0.0,113803077.19434851,0.0
112384392.0,0.0,113803078.033281,0.0
112384392.0,0.0,113803077.25965463,0.0
112384392.0,0.0,113803076.28257456,0.0
112384392.0,0.0,113803077.17174254,0.0
112384392.0,0.0,113803078.1211931,0.0
112384392.0,0.0,113803077.71930926,0.0
112384392.0,0.0,113803077.81224489,0.0
112384392.0,0.0,113803077.22197802,0.0
112384392.0,0.0,113803075.32056515,0.0
112384392.0,0.0,113803077.6288854,0.0
112384392.0,0.0,113803077.97551021,0.0
112384392.0,0.0,113803077.25965463,0.0
112384392.0,0.0,113803074.98649922,0.0
112384392.0,0.0,113803081.33626373,0.0
112384392.0,0.0,113803079.01287284,0.0
112384392.0,0.0,113803077.2822606,0.0
112384392.0,0.0,113803079.57048665,0.0
112384392.0,0.0,113803077.24709576,0.0
112384392.0,0.0,113803077.29230769,0.0
112384392.0,0.0,113803078.56828885,0.0
112384392.0,0.0,113803077.88257457,0.0
112384392.0,0.0,113803076.94819467,0.0
112384392.0,0.0,113803076.27503924,0.0
112384392.0,0.0,113803077.91271585,0.0
112384392.0,0.0,113803078.5833595,0.0
112384392.0,0.0,113803076.76483516,0.0
112384392.0,0.0,113803076.92307693,0.0
112384392.0,0.0,113803076.81758241,0.0
112384392.0,0.0,113803075.54662481,0.0
112384392.0,0.0,113803077.50078493,0.0
112384392.0,0.0,113803076.144427,0.0
112384392.0,0.0,113803075.9133438,0.0
112384392.0,0.0,113803074.53186813,0.0
112384392.0,0.0,113803077.14913657,0.0
112384392.0,0.0,113803077.31240189,0.0
112384392.0,0.0,113803078.30957614,0.0
112384392.0,0.0,113803077.01601256,0.0
112384392.0,0.0,113803079.67849293,0.0
112384392.0,0.0,113803076.10926217,0.0
112384392.0,0.0,113803078.77927786,0.0
112384392.0,0.0,113803077.26718995,0.0
112384392.0,0.0,113803077.09136578,0.0
112384392.0,0.0,113803078.04583988,0.0
112384392.0,0.0,113803078.35478806,0.0
112384392.0,0.0,113803077.50078493,0.0
112384392.0,0.0,113803076.28257456,0.0
